"area_data_type","GEOID","county","state","total_units","biz_res","speed_02_02","speed_10_1","speed_25_3","speed_100_20","speed_250_25","speed_1000_100","year"
"Total","31115","Loup","NE",529,"B",1,1,1,1,0.865784499,0.865784499,"_2024"
"Total","31117","McPherson","NE",314,"R",1,1,1,1,0.321656051,0.321656051,"_2024"
"Total","31117","McPherson","NE",314,"B",1,1,1,1,0.321656051,0.321656051,"_2024"
"Total","31119","Madison","NE",18166,"R",1,1,1,1,0.873610041,0.738522515,"_2024"
"Total","31119","Madison","NE",18166,"B",1,1,1,1,0.879830452,0.806726852,"_2024"
"Total","31121","Merrick","NE",4635,"R",1,1,1,1,0.645307443,0.41596548,"_2024"
"Total","31121","Merrick","NE",4635,"B",1,1,1,1,0.609924488,0.41596548,"_2024"
"Total","31123","Morrill","NE",3044,"R",1,1,1,1,0.66130092,0.299277267,"_2024"
"Total","31123","Morrill","NE",3044,"B",1,1,1,1,0.655059133,0.299277267,"_2024"
"Total","31125","Nance","NE",2235,"R",1,1,1,1,0.703355705,0.127516779,"_2024"
"Total","31125","Nance","NE",2235,"B",1,1,1,1,0.703355705,0.127516779,"_2024"
"Total","31127","Nemaha","NE",4158,"R",1,1,1,1,0.748196248,0.612554113,"_2024"
"Total","31127","Nemaha","NE",4158,"B",1,1,1,1,0.748196248,0.612554113,"_2024"
"Total","31129","Nuckolls","NE",3093,"R",1,1,1,1,0.748140963,0.642741675,"_2024"
"Total","31129","Nuckolls","NE",3093,"B",1,1,1,1,0.748140963,0.642741675,"_2024"
"Total","31131","Otoe","NE",8543,"R",1,1,1,1,0.838581295,0.598501697,"_2024"
"Total","31131","Otoe","NE",8543,"B",1,1,1,1,0.782629053,0.605407936,"_2024"
"Total","31133","Pawnee","NE",2091,"R",1,1,1,1,0.775227164,0.424677188,"_2024"
"Total","31133","Pawnee","NE",2091,"B",1,1,1,1,0.776183644,0.424677188,"_2024"
"Total","31135","Perkins","NE",1795,"R",1,1,1,1,0.833983287,0.147632312,"_2024"
"Total","31135","Perkins","NE",1795,"B",1,1,1,1,0.816155989,0.147632312,"_2024"
"Total","31137","Phelps","NE",5261,"R",1,1,1,1,0.870937084,0.770575936,"_2024"
"Total","31137","Phelps","NE",5261,"B",1,1,1,1,0.793765444,0.770766014,"_2024"
"Total","31139","Pierce","NE",4104,"R",1,1,1,1,0.795808967,0.490497076,"_2024"
"Total","31139","Pierce","NE",4104,"B",1,1,1,1,0.748781676,0.443469786,"_2024"
"Total","31141","Platte","NE",17230,"R",1,1,1,1,0.919442832,0.838943703,"_2024"
"Total","31141","Platte","NE",17230,"B",1,1,1,1,0.919616947,0.852118398,"_2024"
"Total","31143","Polk","NE",3602,"R",1,1,1,1,0.734036646,0.653525819,"_2024"
"Total","31143","Polk","NE",3602,"B",1,1,1,1,0.734036646,0.653525819,"_2024"
"Total","31145","Red Willow","NE",6448,"R",1,1,1,1,0.947580645,0.666253102,"_2024"
"Total","31145","Red Willow","NE",6448,"B",1,1,1,1,0.947580645,0.666253102,"_2024"
"Total","31147","Richardson","NE",5319,"R",1,1,1,1,0.930626058,0.136491822,"_2024"
"Total","31147","Richardson","NE",5319,"B",1,1,1,1,0.930626058,0.136491822,"_2024"
"Total","31149","Rock","NE",1192,"R",1,1,1,1,0.013422819,0.013422819,"_2024"
"Total","31149","Rock","NE",1192,"B",1,1,1,1,0.014261745,0.014261745,"_2024"
"Total","31151","Saline","NE",7301,"R",1,1,1,1,0.877277085,0.733050267,"_2024"
"Total","31151","Saline","NE",7301,"B",1,1,1,1,0.878098891,0.733872072,"_2024"
"Total","31153","Sarpy","NE",86495,"R",1,1,1,1,0.965766807,0.875148853,"_2024"
"Total","31153","Sarpy","NE",86495,"B",1,1,1,1,0.642488005,0.511185618,"_2024"
"Total","31155","Saunders","NE",12063,"R",1,1,1,1,0.556080577,0.366160988,"_2024"
"Total","31155","Saunders","NE",12063,"B",1,1,1,1,0.437702064,0.366326784,"_2024"
"Total","31157","Scotts Bluff","NE",20113,"R",1,1,1,1,0.99562472,0.815243872,"_2024"
"Total","31157","Scotts Bluff","NE",20113,"B",1,1,1,1,0.995575001,0.815243872,"_2024"
"Total","31159","Seward","NE",8535,"R",1,1,1,0.999882835,0.655301699,0.639718805,"_2024"
"Total","31159","Seward","NE",8535,"B",1,1,1,0.999882835,0.65354423,0.640187463,"_2024"
"Total","31161","Sheridan","NE",3538,"R",1,1,1,1,0.725268513,0.468061051,"_2024"
"Total","31161","Sheridan","NE",3538,"B",1,1,1,1,0.725268513,0.468061051,"_2024"
"Total","31163","Sherman","NE",2547,"R",1,1,1,1,0.574008638,0.53199843,"_2024"
"Total","31163","Sherman","NE",2547,"B",1,1,1,1,0.555162937,0.532391048,"_2024"
"Total","31165","Sioux","NE",1058,"R",1,1,1,1,0.657844991,0.116257089,"_2024"
"Total","31165","Sioux","NE",1058,"B",1,1,1,1,0.65879017,0.116257089,"_2024"
"Total","31167","Stanton","NE",3142,"R",1,1,1,1,0.784532145,0.719605347,"_2024"
"Total","31167","Stanton","NE",3142,"B",1,1,1,1,0.784532145,0.719605347,"_2024"
"Total","31169","Thayer","NE",3575,"R",1,1,1,0.99972028,0.741818182,0.669370629,"_2024"
"Total","31169","Thayer","NE",3575,"B",1,1,1,0.99972028,0.741818182,0.669370629,"_2024"
"Total","31171","Thomas","NE",535,"R",1,1,1,1,0,0,"_2024"
"Total","31171","Thomas","NE",535,"B",1,1,1,1,0,0,"_2024"
"Total","31173","Thurston","NE",3315,"R",1,1,1,1,0.338461538,0.201206637,"_2024"
"Total","31173","Thurston","NE",3315,"B",1,1,1,1,0.198793363,0.059426848,"_2024"
"Total","31175","Valley","NE",2793,"R",1,1,1,1,0.68349445,0.282133906,"_2024"
"Total","31175","Valley","NE",2793,"B",1,1,1,1,0.40386681,0.282491944,"_2024"
"Total","31177","Washington","NE",10269,"R",1,1,1,0.99990262,0.661505502,0.652351738,"_2024"
"Total","31177","Washington","NE",10269,"B",1,1,1,0.99990262,0.491771351,0.47911189,"_2024"
"Total","31179","Wayne","NE",4968,"R",1,1,1,1,0.738929147,0.704710145,"_2024"
"Total","31179","Wayne","NE",4968,"B",1,1,1,1,0.659017713,0.624597424,"_2024"
"Total","31181","Webster","NE",2433,"R",1,1,1,1,0.914097822,0.814221126,"_2024"
"Total","31181","Webster","NE",2433,"B",1,1,1,1,0.914097822,0.814221126,"_2024"
"Total","31183","Wheeler","NE",711,"R",1,1,1,1,0.437412096,0.437412096,"_2024"
"Total","31183","Wheeler","NE",711,"B",1,1,1,1,0.437412096,0.437412096,"_2024"
"Total","31185","York","NE",8515,"R",1,1,1,1,0.829947152,0.669524369,"_2024"
"Total","31185","York","NE",8515,"B",1,1,1,1,0.829947152,0.669524369,"_2024"
"Total","32001","Churchill","NV",12678,"R",1,1,1,1,0.823631488,0.81077457,"_2024"
"Total","32001","Churchill","NV",12678,"B",1,1,1,1,0.698769522,0.698769522,"_2024"
"Total","32003","Clark","NV",1036195,"R",1,1,1,1,0.995555856,0.867658115,"_2024"
"Total","32003","Clark","NV",1036195,"B",1,1,1,1,0.993365148,0.953450847,"_2024"
"Total","32005","Douglas","NV",27336,"R",1,1,1,1,0.947395376,0.870646766,"_2024"
"Total","32005","Douglas","NV",27336,"B",1,1,1,1,0.730026339,0.686530582,"_2024"
"Total","32007","Elko","NV",25466,"R",1,1,1,1,0.806251473,0.728579282,"_2024"
"Total","32007","Elko","NV",25466,"B",1,1,1,1,0.806251473,0.728579282,"_2024"
"Total","32009","Esmeralda","NV",739,"R",1,1,1,1,0.00541272,0.00541272,"_2024"
"Total","32009","Esmeralda","NV",739,"B",1,1,1,1,0.00541272,0.00541272,"_2024"
"Total","32011","Eureka","NV",1195,"R",1,1,1,1,0,0,"_2024"
"Total","32011","Eureka","NV",1195,"B",1,1,1,1,0,0,"_2024"
"Total","32013","Humboldt","NV",9122,"R",1,1,1,1,0.907476431,0.155557992,"_2024"
"Total","32013","Humboldt","NV",9122,"B",1,1,1,1,0.907476431,0.907476431,"_2024"
"Total","32015","Lander","NV",3062,"R",1,1,1,1,0.806662312,0,"_2024"
"Total","32015","Lander","NV",3062,"B",1,1,1,1,0.806662312,0.806662312,"_2024"
"Total","32017","Lincoln","NV",2618,"R",1,1,1,1,0,0,"_2024"
"Total","32017","Lincoln","NV",2618,"B",1,1,1,1,0,0,"_2024"
"Total","32019","Lyon","NV",27918,"R",1,1,1,1,0.994877857,0.803639229,"_2024"
"Total","32019","Lyon","NV",27918,"B",1,1,1,1,0.994125654,0.911741529,"_2024"
"Total","32021","Mineral","NV",2878,"R",1,1,1,1,0.616400278,0.616400278,"_2024"
"Total","32021","Mineral","NV",2878,"B",1,1,1,1,0.081306463,0.081306463,"_2024"
"Total","32023","Nye","NV",27263,"R",1,1,1,1,0.452261307,0.146352199,"_2024"
"Total","32023","Nye","NV",27263,"B",1,1,1,1,0.168286689,0.146352199,"_2024"
"Total","32027","Pershing","NV",2538,"R",1,1,1,1,0.206855792,0,"_2024"
"Total","32027","Pershing","NV",2538,"B",1,1,1,1,0.206855792,0.206855792,"_2024"
"Total","32029","Storey","NV",2492,"R",1,1,1,1,0.956661316,0.264044944,"_2024"
"Total","32029","Storey","NV",2492,"B",1,1,1,1,0.961075441,0.714285714,"_2024"
"Total","32031","Washoe","NV",241533,"R",1,1,1,1,0.96946587,0.941511098,"_2024"
"Total","32031","Washoe","NV",241533,"B",1,1,1,1,0.78137977,0.777939246,"_2024"
"Total","32033","White Pine","NV",4850,"R",1,1,1,1,0.002474227,0.002474227,"_2024"
"Total","32033","White Pine","NV",4850,"B",1,1,1,1,0.013608247,0.013608247,"_2024"
"Total","32510","Carson City","NV",29192,"R",1,1,1,1,0.996745684,0.91706632,"_2024"
"Total","32510","Carson City","NV",29192,"B",1,1,1,1,0.996677172,0.995718005,"_2024"
"Total","33001","Belknap","NH",45543,"R",1,1,1,1,0.994378939,0.67114595,"_2024"
"Total","33001","Belknap","NH",45543,"B",1,1,1,1,0.750521485,0.66438311,"_2024"
"Total","33003","Carroll","NH",47101,"R",1,1,1,1,0.857688796,0.252457485,"_2024"
"Total","33003","Carroll","NH",47101,"B",1,1,1,0.999915076,0.146154009,0.019320184,"_2024"
"Total","33005","Cheshire","NH",40774,"R",1,1,1,1,0.920341394,0.767229117,"_2024"
"Total","33005","Cheshire","NH",40774,"B",1,1,1,0.97223721,0.353411488,0.107298769,"_2024"
"Total","33007","Coos","NH",24788,"R",1,1,1,1,0.72196224,0.530216234,"_2024"
"Total","33007","Coos","NH",24788,"B",1,1,1,1,0.211271583,0.055268678,"_2024"
"Total","33009","Grafton","NH",62324,"R",1,1,1,1,0.850089853,0.393283486,"_2024"
"Total","33009","Grafton","NH",62324,"B",1,1,1,1,0.483409281,0.326262756,"_2024"
"Total","33011","Hillsborough","NH",200049,"R",1,1,1,1,0.994086449,0.860484181,"_2024"
"Total","33011","Hillsborough","NH",200049,"B",1,1,1,0.99910022,0.97436628,0.701433149,"_2024"
"Total","33013","Merrimack","NH",75590,"R",1,1,1,1,0.980870486,0.72907792,"_2024"
"Total","33013","Merrimack","NH",75590,"B",1,1,1,1,0.875499405,0.607104114,"_2024"
"Total","33015","Rockingham","NH",156910,"R",1,1,1,1,0.995908483,0.858874514,"_2024"
"Total","33015","Rockingham","NH",156910,"B",1,1,1,1,0.968950354,0.715696896,"_2024"
"Total","33017","Strafford","NH",64496,"R",1,1,1,1,0.996309849,0.757488837,"_2024"
"Total","33017","Strafford","NH",64496,"B",1,1,1,1,0.810453361,0.667963905,"_2024"
"Total","33019","Sullivan","NH",25409,"R",1,1,1,1,0.879727656,0.399110551,"_2024"
"Total","33019","Sullivan","NH",25409,"B",1,1,1,1,0.790467944,0.171159825,"_2024"
"Total","34001","Atlantic","NJ",150296,"R",1,1,1,0.999986693,0.99315351,0.566435567,"_2024"
"Total","34001","Atlantic","NJ",150296,"B",1,1,1,0.999986693,0.993206739,0.568930644,"_2024"
"Total","34003","Bergen","NJ",410199,"R",1,1,1,1,0.976031146,0.674726169,"_2024"
"Total","34003","Bergen","NJ",410199,"B",1,1,1,1,0.989997538,0.939475718,"_2024"
"Total","34005","Burlington","NJ",210512,"R",1,1,1,1,0.992850764,0.575207114,"_2024"
"Total","34005","Burlington","NJ",210512,"B",1,1,1,1,0.992888766,0.575829406,"_2024"
"Total","34007","Camden","NJ",238810,"R",1,1,1,1,0.996055442,0.725719191,"_2024"
"Total","34007","Camden","NJ",238810,"B",1,1,1,1,0.996105691,0.725832252,"_2024"
"Total","34009","Cape May","NJ",112953,"R",1,1,1,1,0.989836481,0.401379335,"_2024"
"Total","34009","Cape May","NJ",112953,"B",1,1,1,1,0.989712535,0.403247368,"_2024"
"Total","34011","Cumberland","NJ",67253,"R",1,1,1,1,0.980788961,0.214756219,"_2024"
"Total","34011","Cumberland","NJ",67253,"B",1,1,1,1,0.9808187,0.215023865,"_2024"
"Total","34013","Essex","NJ",368478,"R",1,1,1,1,0.98989899,0.792356667,"_2024"
"Total","34013","Essex","NJ",368478,"B",1,1,1,1,0.999492507,0.953614598,"_2024"
"Total","34015","Gloucester","NJ",133102,"R",1,1,1,1,0.994665745,0.61126805,"_2024"
"Total","34015","Gloucester","NJ",133102,"B",1,1,1,1,0.994680771,0.611666241,"_2024"
"Total","34017","Hudson","NJ",337502,"R",1,1,1,1,0.993819296,0.838104663,"_2024"
"Total","34017","Hudson","NJ",337502,"B",1,1,1,1,0.999952593,0.998690378,"_2024"
"Total","34019","Hunterdon","NJ",63625,"R",1,1,1,1,0.970153242,0.524715128,"_2024"
"Total","34019","Hunterdon","NJ",63625,"B",1,1,1,1,0.972149312,0.597768173,"_2024"
"Total","34021","Mercer","NJ",175682,"R",1,1,1,1,0.987545679,0.674645097,"_2024"
"Total","34021","Mercer","NJ",175682,"B",1,1,1,1,0.977977254,0.709873521,"_2024"
"Total","34023","Middlesex","NJ",368247,"R",1,1,1,1,0.978500843,0.674623283,"_2024"
"Total","34023","Middlesex","NJ",368247,"B",1,1,1,1,0.958318737,0.83502649,"_2024"
"Total","34025","Monmouth","NJ",317396,"R",1,1,1,1,0.979026201,0.542845531,"_2024"
"Total","34025","Monmouth","NJ",317396,"B",1,1,1,1,0.951247023,0.697734061,"_2024"
"Total","34027","Morris","NJ",230200,"R",1,1,1,1,0.957363162,0.6181755,"_2024"
"Total","34027","Morris","NJ",230200,"B",1,1,1,1,0.898210252,0.700473501,"_2024"
"Total","34029","Ocean","NJ",336766,"R",1,1,1,1,0.991323352,0.53471253,"_2024"
"Total","34029","Ocean","NJ",336766,"B",1,1,1,1,0.969397148,0.582101519,"_2024"
"Total","34031","Passaic","NJ",206142,"R",1,1,1,1,0.970685256,0.841875988,"_2024"
"Total","34031","Passaic","NJ",206142,"B",1,1,1,1,0.888567104,0.872519913,"_2024"
"Total","34033","Salem","NJ",33034,"R",1,1,1,1,0.947811346,0.265847309,"_2024"
"Total","34033","Salem","NJ",33034,"B",1,1,1,1,0.947841618,0.266210571,"_2024"
"Total","34035","Somerset","NJ",162288,"R",1,1,1,1,0.9822168,0.517364192,"_2024"
"Total","34035","Somerset","NJ",162288,"B",1,1,1,1,0.988736074,0.773760229,"_2024"
"Total","34037","Sussex","NJ",74105,"R",1,1,1,1,0.969543216,0.804169759,"_2024"
"Total","34037","Sussex","NJ",74105,"B",1,1,1,1,0.76615613,0.71995142,"_2024"
"Total","34039","Union","NJ",236058,"R",1,1,1,1,0.992836506,0.966042244,"_2024"
"Total","34039","Union","NJ",236058,"B",1,1,1,1,0.999597557,0.993111862,"_2024"
"Total","34041","Warren","NJ",55042,"R",1,1,1,1,0.932960285,0.255059773,"_2024"
"Total","34041","Warren","NJ",55042,"B",1,1,1,1,0.868809273,0.28981505,"_2024"
"Total","35001","Bernalillo","NM",334318,"R",1,1,1,0.999997009,0.968449201,0.113128817,"_2024"
"Total","35001","Bernalillo","NM",334318,"B",1,1,1,0.999997009,0.969385435,0.122096327,"_2024"
"Total","35003","Catron","NM",3798,"R",1,1,1,1,0.003159558,0.001053186,"_2024"
"Total","35003","Catron","NM",3798,"B",1,1,1,0.966034755,0,0,"_2024"
"Total","35005","Chaves","NM",32208,"R",1,1,1,1,0.895926478,0.637978142,"_2024"
"Total","35005","Chaves","NM",32208,"B",1,1,1,1,0.895926478,0.637978142,"_2024"
"Total","35006","Cibola","NM",18325,"R",1,1,1,1,0.552469304,0.533151432,"_2024"
"Total","35006","Cibola","NM",18325,"B",1,1,1,1,0.552469304,0.533151432,"_2024"
"Total","35007","Colfax","NM",11192,"R",1,1,1,1,0.627501787,0.627501787,"_2024"
"Total","35007","Colfax","NM",11192,"B",1,1,1,1,0.351143674,0.351143674,"_2024"
"Total","35009","Curry","NM",24653,"R",1,1,1,1,0.964912992,0.932787085,"_2024"
"Total","35009","Curry","NM",24653,"B",1,1,1,1,0.959436985,0.932787085,"_2024"
"Total","35011","De Baca","NM",1573,"R",1,1,1,1,0.891290528,0.891290528,"_2024"
"Total","35011","De Baca","NM",1573,"B",1,1,1,1,0.891290528,0.891290528,"_2024"
"Total","35013","Doña Ana","NM",112260,"R",1,1,1,1,0.948147158,0.094236594,"_2024"
"Total","35013","Doña Ana","NM",112260,"B",1,1,1,0.999937645,0.895670764,0.081542847,"_2024"
"Total","35015","Eddy","NM",33162,"R",1,1,1,1,0.813069176,0.648603824,"_2024"
"Total","35015","Eddy","NM",33162,"B",1,1,1,1,0.813069176,0.648603824,"_2024"
"Total","35017","Grant","NM",16986,"R",1,1,1,1,0.707994819,0.000647592,"_2024"
"Total","35017","Grant","NM",16986,"B",1,1,1,1,0.707582715,0.00058872,"_2024"
"Total","35019","Guadalupe","NM",2871,"R",1,1,1,1,0.918495298,0.918495298,"_2024"
"Total","35019","Guadalupe","NM",2871,"B",1,1,1,1,0.918495298,0.918495298,"_2024"
"Total","35021","Harding","NM",808,"R",1,1,1,1,0.753712871,0.753712871,"_2024"
"Total","35021","Harding","NM",808,"B",1,1,1,1,0.753712871,0.753712871,"_2024"
"Total","35023","Hidalgo","NM",3325,"R",1,1,1,1,0.113383459,0.113383459,"_2024"
"Total","35023","Hidalgo","NM",3325,"B",1,1,1,1,0.113383459,0.113383459,"_2024"
"Total","35025","Lea","NM",33917,"R",1,1,1,1,0.780346139,0.76348144,"_2024"
"Total","35025","Lea","NM",33917,"B",1,1,1,1,0.780346139,0.76348144,"_2024"
"Total","35027","Lincoln","NM",22105,"R",1,1,1,1,0.221488351,0.217778783,"_2024"
"Total","35027","Lincoln","NM",22105,"B",1,1,1,1,0.221488351,0.217778783,"_2024"
"Total","35028","Los Alamos","NM",10042,"R",1,1,1,1,0.949213304,0.017327226,"_2024"
"Total","35028","Los Alamos","NM",10042,"B",1,1,1,0.996315475,0.949213304,0.017327226,"_2024"
"Total","35029","Luna","NM",12883,"R",1,1,1,1,0.634945277,0.073740588,"_2024"
"Total","35029","Luna","NM",12883,"B",1,1,1,1,0.634945277,0.073740588,"_2024"
"Total","35031","McKinley","NM",27517,"R",1,1,1,1,0.502562053,0.08100447,"_2024"
"Total","35031","McKinley","NM",27517,"B",1,1,1,1,0.502562053,0.08100447,"_2024"
"Total","35033","Mora","NM",3938,"R",1,1,1,1,0.003047232,0.003047232,"_2024"
"Total","35033","Mora","NM",3938,"B",1,1,1,1,0.001015744,0.001015744,"_2024"
"Total","35035","Otero","NM",40529,"R",1,1,1,1,0.351452047,0.264600656,"_2024"
"Total","35035","Otero","NM",40529,"B",1,1,1,1,0.336401096,0.263169582,"_2024"
"Total","35037","Quay","NM",7553,"R",1,1,1,1,0.905865219,0.880709652,"_2024"
"Total","35037","Quay","NM",7553,"B",1,1,1,1,0.905865219,0.880709652,"_2024"
"Total","35039","Rio Arriba","NM",23438,"R",1,1,1,1,0.121384077,0.121384077,"_2024"
"Total","35039","Rio Arriba","NM",23438,"B",1,1,1,1,0.037588531,0.037588531,"_2024"
"Total","35041","Roosevelt","NM",9956,"R",1,1,1,1,0.935616714,0.90548413,"_2024"
"Total","35041","Roosevelt","NM",9956,"B",1,1,1,1,0.935616714,0.90548413,"_2024"
"Total","35043","Sandoval","NM",69735,"R",1,1,1,1,0.815903062,0.238187424,"_2024"
"Total","35043","Sandoval","NM",69735,"B",1,1,1,0.99955546,0.815960422,0.243593604,"_2024"
"Total","35045","San Juan","NM",54435,"R",1,1,1,1,0.676825572,0.00345366,"_2024"
"Total","35045","San Juan","NM",54435,"B",1,1,1,1,0.676972536,0.003637366,"_2024"
"Total","35047","San Miguel","NM",18737,"R",1,1,0.99994663,0.999839889,0.673373539,0.669851097,"_2024"
"Total","35047","San Miguel","NM",18737,"B",1,1,0.99994663,0.999839889,0.673373539,0.669851097,"_2024"
"Total","35049","Santa Fe","NM",88716,"R",1,1,1,0.999966184,0.742222373,0.046429055,"_2024"
"Total","35049","Santa Fe","NM",88716,"B",1,1,1,0.999909825,0.742211101,0.057205014,"_2024"
"Total","35051","Sierra","NM",9708,"R",1,1,1,1,0.327255871,0.327255871,"_2024"
"Total","35051","Sierra","NM",9708,"B",1,1,1,1,0.327255871,0.327255871,"_2024"
"Total","35053","Socorro","NM",9461,"R",1,1,1,1,0.395095656,0.394250079,"_2024"
"Total","35053","Socorro","NM",9461,"B",1,1,1,0.992812599,0.393721594,0.393615897,"_2024"
"Total","35055","Taos","NM",23750,"R",1,1,1,1,0.919284211,0.913347368,"_2024"
"Total","35055","Taos","NM",23750,"B",1,1,1,0.999452632,0.761389474,0.744968421,"_2024"
"Total","35057","Torrance","NM",10390,"R",1,1,1,1,0.273435996,0.110105871,"_2024"
"Total","35057","Torrance","NM",10390,"B",1,1,1,1,0.273435996,0.110105871,"_2024"
"Total","35059","Union","NM",3707,"R",1,1,1,1,0.75155112,0.75155112,"_2024"
"Total","35059","Union","NM",3707,"B",1,1,1,1,0.75155112,0.75155112,"_2024"
"Total","35061","Valencia","NM",34303,"R",1,1,1,1,0.915692505,0.45684051,"_2024"
"Total","35061","Valencia","NM",34303,"B",1,1,1,1,0.915692505,0.460076378,"_2024"
"Total","36001","Albany","NY",163819,"R",1,1,1,0.999993896,0.943693955,0.368150215,"_2024"
"Total","36001","Albany","NY",163819,"B",1,1,1,0.999993896,0.565697508,0.119723597,"_2024"
"Total","36003","Allegany","NY",26099,"R",1,1,1,0.999961684,0.905015518,0.635771485,"_2024"
"Total","36003","Allegany","NY",26099,"B",1,1,1,0.999961684,0.661136442,0.614506303,"_2024"
"Total","36005","Bronx","NY",575405,"R",1,1,1,1,0.99755129,0.827888183,"_2024"
"Total","36005","Bronx","NY",575405,"B",1,1,1,1,0.999223156,0.997846734,"_2024"
"Total","36007","Broome","NY",100975,"R",1,1,1,0.999980193,0.977647933,0.623104729,"_2024"
"Total","36007","Broome","NY",100975,"B",1,1,1,0.999980193,0.774498638,0.443872246,"_2024"
"Total","36009","Cattaraugus","NY",45628,"R",1,1,1,1,0.836503901,0.436771281,"_2024"
"Total","36009","Cattaraugus","NY",45628,"B",1,1,1,1,0.513610064,0.434798808,"_2024"
"Total","36011","Cayuga","NY",40458,"R",1,1,1,1,0.890726185,0.116515893,"_2024"
"Total","36011","Cayuga","NY",40458,"B",1,1,1,1,0.610756834,0.055959266,"_2024"
"Total","36013","Chautauqua","NY",74369,"R",1,1,1,0.999986554,0.885530261,0.451707028,"_2024"
"Total","36013","Chautauqua","NY",74369,"B",1,1,1,0.999986554,0.463876077,0.401511382,"_2024"
"Total","36015","Chemung","NY",42653,"R",1,1,1,1,0.968841582,0.649028204,"_2024"
"Total","36015","Chemung","NY",42653,"B",1,1,1,1,0.652920076,0.065130237,"_2024"
"Total","36017","Chenango","NY",27575,"R",1,1,1,1,0.781033545,0.163481414,"_2024"
"Total","36017","Chenango","NY",27575,"B",1,1,1,1,0.182302811,0.091133273,"_2024"
"Total","36019","Clinton","NY",41512,"R",1,1,1,1,0.933055502,0.199604934,"_2024"
"Total","36019","Clinton","NY",41512,"B",1,1,1,1,0.623988244,0.18811428,"_2024"
"Total","36021","Columbia","NY",37211,"R",1,1,1,1,0.933433662,0.658246218,"_2024"
"Total","36021","Columbia","NY",37211,"B",1,1,1,1,0.539383516,0.440756765,"_2024"
"Total","36023","Cortland","NY",23079,"R",1,1,1,1,0.900602279,0.442176871,"_2024"
"Total","36023","Cortland","NY",23079,"B",1,1,1,1,0.433380996,0.203171715,"_2024"
"Total","36025","Delaware","NY",33616,"R",1,1,1,1,0.928337696,0.65801999,"_2024"
"Total","36025","Delaware","NY",33616,"B",1,1,1,1,0.829188482,0.652992623,"_2024"
"Total","36027","Dutchess","NY",137663,"R",1,1,1,1,0.953473337,0.472116691,"_2024"
"Total","36027","Dutchess","NY",137663,"B",1,1,1,1,0.609197824,0.434147156,"_2024"
"Total","36029","Erie","NY",482217,"R",1,1,1,1,0.961011329,0.371374298,"_2024"
"Total","36029","Erie","NY",482217,"B",1,1,1,1,0.625237186,0.154930249,"_2024"
"Total","36031","Essex","NY",28590,"R",1,1,1,0.999930045,0.859496327,0.392934593,"_2024"
"Total","36031","Essex","NY",28590,"B",1,1,1,0.999930045,0.203497726,0.115355019,"_2024"
"Total","36033","Franklin","NY",30493,"R",1,1,1,0.999573673,0.742104745,0.2629128,"_2024"
"Total","36033","Franklin","NY",30493,"B",1,1,1,0.999475289,0.162201161,0.104515791,"_2024"
"Total","36035","Fulton","NY",30850,"R",1,1,1,1,0.887358185,0.165380875,"_2024"
"Total","36035","Fulton","NY",30850,"B",1,1,1,1,0.110794165,0.013517018,"_2024"
"Total","36037","Genesee","NY",29377,"R",1,1,1,0.99996596,0.881846342,0.746944889,"_2024"
"Total","36037","Genesee","NY",29377,"B",1,1,1,0.99996596,0.153487422,0.130271981,"_2024"
"Total","36039","Greene","NY",32071,"R",1,1,1,1,0.961616414,0.42829971,"_2024"
"Total","36039","Greene","NY",32071,"B",1,1,1,1,0.837641483,0.428517976,"_2024"
"Total","36041","Hamilton","NY",8834,"R",1,1,1,1,0.727756396,0.593275979,"_2024"
"Total","36041","Hamilton","NY",8834,"B",1,1,1,1,0.138781979,0.066900611,"_2024"
"Total","36043","Herkimer","NY",35846,"R",1,1,1,1,0.873096022,0.127880377,"_2024"
"Total","36043","Herkimer","NY",35846,"B",1,1,1,1,0.286838141,0.083998215,"_2024"
"Total","36045","Jefferson","NY",67380,"R",1,1,1,0.999970318,0.916948649,0.100549124,"_2024"
"Total","36045","Jefferson","NY",67380,"B",1,1,1,0.999970318,0.27227664,0.145206293,"_2024"
"Total","36047","Kings","NY",1146957,"R",1,1,1,1,0.981753457,0.66652368,"_2024"
"Total","36047","Kings","NY",1146957,"B",1,1,1,1,0.998761941,0.989417214,"_2024"
"Total","36049","Lewis","NY",17355,"R",1,1,1,1,0.767675022,0.245865745,"_2024"
"Total","36049","Lewis","NY",17355,"B",1,1,1,1,0.105502737,0.02235667,"_2024"
"Total","36051","Livingston","NY",30144,"R",1,1,1,0.999966826,0.852906051,0.836451699,"_2024"
"Total","36051","Livingston","NY",30144,"B",1,1,1,0.999867304,0.164742569,0.156482219,"_2024"
"Total","36053","Madison","NY",33912,"R",1,1,1,0.999941024,0.898295589,0.161388299,"_2024"
"Total","36053","Madison","NY",33912,"B",1,1,1,0.999911536,0.224699222,0.118011323,"_2024"
"Total","36055","Monroe","NY",367471,"R",1,1,1,1,0.942131488,0.940188477,"_2024"
"Total","36055","Monroe","NY",367471,"B",1,1,1,1,0.465726547,0.463720947,"_2024"
"Total","36057","Montgomery","NY",25514,"R",1,1,1,1,0.837265815,0.146821353,"_2024"
"Total","36057","Montgomery","NY",25514,"B",1,1,1,1,0.12459826,0.012659716,"_2024"
"Total","36059","Nassau","NY",528917,"R",1,1,1,1,0.988572876,0.918800114,"_2024"
